date,value
2016-05-09,4174
2016-05-10,4507
2016-05-11,1860
2016-05-12,2294
2016-05-13,2130
2016-05-14,2095
2016-05-15,4772
2016-05-16,4092
2016-05-17,2638
2016-05-18,3169
2016-05-19,1466
2016-05-20,2238
2016-05-21,1330
2016-05-22,2482
2016-05-23,3135
2016-05-24,4444
2016-05-25,4171
2016-05-26,3919
2016-05-27,4735
2016-05-28,1130
2016-05-29,2685
2016-05-30,4380
2016-05-31,1769
2016-06-01,3391
2016-06-02,2515
2016-06-03,4485
2016-06-04,3853
2016-06-05,3433
2016-06-06,2215
2016-06-07,1955
2016-06-08,3324
2016-06-09,2184
2016-06-10,1459
2016-06-11,4385
2016-06-12,1021
2016-06-13,3300
2016-06-14,1747
2016-06-15,3904
2016-06-16,4632
2016-06-17,1474
2016-06-18,2082
2016-06-19,3558
2016-06-20,4753
2016-06-21,3047
2016-06-22,4547
2016-06-23,3747
2016-06-24,1975
2016-06-25,2806
2016-06-26,1189
2016-06-27,4005
2016-06-28,3734
2016-06-29,4005
2016-06-30,1562
2016-07-01,2899
2016-07-02,4638
2016-07-03,2267
2016-07-04,3879
2016-07-05,2528
2016-07-06,4202
2016-07-07,4556
2016-07-08,4890
2016-07-09,1646
2016-07-10,3068
2016-07-11,3888
2016-07-12,3214
2016-07-13,2297
2016-07-14,3435
2016-07-15,1600
2016-07-16,3363
2016-07-17,3061
2016-07-18,1241
2016-07-19,3041
2016-07-20,3824
2016-07-21,4417
2016-07-22,3612
2016-07-23,3945
2016-07-24,2363
2016-07-25,3139
2016-07-26,2390
2016-07-27,4003
2016-07-28,2478
2016-07-29,4499
2016-07-30,3556
2016-07-31,1775
2016-08-01,1034
2016-08-02,3253
2016-08-03,4152
2016-08-04,2955
2016-08-05,2585
2016-08-06,4943
2016-08-07,4459
2016-08-08,4073
2016-08-09,2021
2016-08-10,4461
2016-08-11,3613
2016-08-12,2129
2016-08-13,4843
2016-08-14,4893
2016-08-15,2500
2016-08-16,1702
2016-08-17,3449
2016-08-18,3777
2016-08-19,2579
2016-08-20,1161
2016-08-21,1201
2016-08-22,2981
2016-08-23,1995
2016-08-24,3317
2016-08-25,4934
2016-08-26,1815
2016-08-27,4342
2016-08-28,1455
2016-08-29,4533
2016-08-30,4798
2016-08-31,2275
2016-09-01,2016
2016-09-02,4773
2016-09-03,3343
2016-09-04,4796
2016-09-05,3767
2016-09-06,4820
2016-09-07,1337
2016-09-08,1878
2016-09-09,2076
2016-09-10,1791
2016-09-11,4993
2016-09-12,3264
2016-09-13,1763
2016-09-14,3235
2016-09-15,1379
2016-09-16,1492
2016-09-17,4112
2016-09-18,2180
2016-09-19,3062
2016-09-20,4884
2016-09-21,1064
2016-09-22,4928
2016-09-23,4910
2016-09-24,3568
2016-09-25,2367
2016-09-26,2152
2016-09-27,3027
2016-09-28,3695
2016-09-29,2495
2016-09-30,4134
2016-10-01,2162
2016-10-02,2522
2016-10-03,3640
2016-10-04,1391
2016-10-05,2698
2016-10-06,1418
2016-10-07,3336
2016-10-08,1378
2016-10-09,2796
2016-10-10,4561
2016-10-11,3278
2016-10-12,4065
2016-10-13,3088
2016-10-14,4099
2016-10-15,3182
2016-10-16,1200
2016-10-17,2863
2016-10-18,1779
2016-10-19,3977
2016-10-20,4104
2016-10-21,4119
2016-10-22,1502
2016-10-23,3454
2016-10-24,4645
2016-10-25,2751
2016-10-26,1804
2016-10-27,3146
2016-10-28,3731
2016-10-29,2895
2016-10-30,3773
2016-10-31,2570
2016-11-01,1960
2016-11-02,4810
2016-11-03,3660
2016-11-04,2485
2016-11-05,3690
2016-11-06,4840
2016-11-07,2028
2016-11-08,4289
2016-11-09,1502
2016-11-10,3814
2016-11-11,1397
2016-11-12,1870
2016-11-13,3842
2016-11-14,1392
2016-11-15,1206
2016-11-16,2038
2016-11-17,2881
2016-11-18,4625
2016-11-19,3939
2016-11-20,2484
2016-11-21,4762
2016-11-22,4646
2016-11-23,1863
2016-11-24,3790
2016-11-25,4312
2016-11-26,1563
2016-11-27,2020
2016-11-28,1095
2016-11-29,2923
2016-11-30,2757
2016-12-01,3532
2016-12-02,4478
2016-12-03,3278
2016-12-04,3796
2016-12-05,2678
2016-12-06,4242
2016-12-07,1540
2016-12-08,2059
2016-12-09,3572
2016-12-10,2183
2016-12-11,4910
2016-12-12,2722
2016-12-13,4314
2016-12-14,4157
2016-12-15,2819
2016-12-16,3625
2016-12-17,3729
2016-12-18,3604
2016-12-19,2597
2016-12-20,4060
2016-12-21,3693
2016-12-22,1795
2016-12-23,2051
2016-12-24,2643
2016-12-25,4627
2016-12-26,2363
2016-12-27,4869
2016-12-28,2981
2016-12-29,2354
2016-12-30,2663
2016-12-31,2529
2017-01-01,3038
2017-01-02,4419
2017-01-03,2496
2017-01-04,4302
2017-01-05,3237
2017-01-06,4296
2017-01-07,2408
2017-01-08,2400
2017-01-09,2306
2017-01-10,3680
2017-01-11,3675
2017-01-12,1972
2017-01-13,2768
2017-01-14,2282
2017-01-15,4430
2017-01-16,1709
2017-01-17,2479
2017-01-18,2434
2017-01-19,1648
2017-01-20,1317
2017-01-21,4748
2017-01-22,4296
2017-01-23,4890
2017-01-24,2257
2017-01-25,1683
2017-01-26,1663
2017-01-27,2998
2017-01-28,4898
2017-01-29,4445
2017-01-30,4743
2017-01-31,2631
2017-02-01,2495
2017-02-02,4304
2017-02-03,4763
2017-02-04,2136
2017-02-05,2853
2017-02-06,2520
2017-02-07,3489
2017-02-08,1563
2017-02-09,2291
2017-02-10,4581
2017-02-11,4878
2017-02-12,4457
2017-02-13,4458
2017-02-14,4184
2017-02-15,2636
2017-02-16,4696
2017-02-17,3999
2017-02-18,4152
2017-02-19,1698
2017-02-20,3160
2017-02-21,1001
2017-02-22,1641
2017-02-23,3267
2017-02-24,2589
2017-02-25,1854
2017-02-26,2759
2017-02-27,4296
2017-02-28,3432
2017-03-01,4474
2017-03-02,2661
2017-03-03,2153
2017-03-04,2076
2017-03-05,2707
2017-03-06,3777
2017-03-07,2695
2017-03-08,2733
2017-03-09,2439
2017-03-10,3294
2017-03-11,1835
2017-03-12,4510
2017-03-13,1202
2017-03-14,4255
2017-03-15,1122
2017-03-16,1400
2017-03-17,1766
2017-03-18,1293
2017-03-19,3327
2017-03-20,4908
2017-03-21,3931
2017-03-22,4681
2017-03-23,1197
2017-03-24,4029
2017-03-25,2930
2017-03-26,4582
2017-03-27,3799
2017-03-28,3191
2017-03-29,1608
2017-03-30,4272
2017-03-31,2147
2017-04-01,1186
2017-04-02,4397
2017-04-03,3511
2017-04-04,4420
2017-04-05,2794
2017-04-06,1659
2017-04-07,3811
2017-04-08,4002
2017-04-09,2955
2017-04-10,3450
2017-04-11,2369
2017-04-12,2986
2017-04-13,2534
2017-04-14,1146
2017-04-15,4219
2017-04-16,3911
2017-04-17,2734
2017-04-18,2843
2017-04-19,1488
2017-04-20,3976
2017-04-21,2959
2017-04-22,2663
2017-04-23,3598
2017-04-24,3385
2017-04-25,3919
2017-04-26,1640
2017-04-27,2802
2017-04-28,3520
2017-04-29,2969
2017-04-30,3198
2017-05-01,2438
2017-05-02,4369
2017-05-03,2634
2017-05-04,1262
2017-05-05,2787
2017-05-06,3191
2017-05-07,3393
